trial, execution time, average entry value
0, 1541500, 2497.78
1, 1559167, 2509.26
2, 1486125, 2501.55
3, 1325375, 2484.78
4, 1325250, 2507.1
5, 1329291, 2486.52
6, 1147458, 2526.6
7, 1122709, 2481.19
8, 1122958, 2532.87
9, 1124833, 2486.05
10, 1016291, 2473.03
11, 973333, 2450.7
12, 973583, 2471.62
13, 973584, 2491.9
14, 973667, 2514.48
15, 877667, 2483.32
16, 872292, 2512.95
17, 872416, 2503.2
18, 874292, 2523.42
19, 872458, 2511.49
20, 841959, 2536.74
21, 809000, 2515
22, 808625, 2524.1
23, 809125, 2486.78
24, 809709, 2498.44
25, 809958, 2527.15
26, 769083, 2499.65
27, 753584, 2516.5
28, 753125, 2466.56
29, 753166, 2495.78
30, 753250, 2549.07
31, 752875, 2487.24
32, 731625, 2482.64
33, 708750, 2492.26
34, 718417, 2503.49
35, 707875, 2498.48
36, 707750, 2513.35
37, 709208, 2511.45
38, 708084, 2490.28
39, 674084, 2504.51
40, 673292, 2490.62
41, 682417, 2506.52
42, 672250, 2493.63
43, 673042, 2488.43
44, 673833, 2504.26
45, 672583, 2489.2
46, 642958, 2494.35
47, 643291, 2540.94
48, 646208, 2496.33
49, 643167, 2522.05
50, 643209, 2510.43
51, 643500, 2496.71
52, 643083, 2519.24
53, 628584, 2528.34
54, 622792, 2506.01
55, 618250, 2509.79
56, 618708, 2527.8
57, 618708, 2505.99
58, 624334, 2478.46
59, 623792, 2538.47
60, 621750, 2510.36
61, 597291, 2502.51
62, 597375, 2481
63, 600209, 2518.15
64, 597250, 2491.61
65, 596916, 2490.98
66, 581167, 2528.19
67, 581375, 2503.7
68, 581333, 2517.45
69, 581500, 2517.23
70, 581209, 2514.76
71, 581292, 2513.42
72, 584458, 2476.37
73, 581292, 2500
74, 568208, 2533.05
75, 579875, 2469.48
76, 575334, 2525.09
77, 568208, 2535.78
78, 568167, 2478.22
79, 568667, 2486.55
80, 578208, 2506.43
81, 568208, 2497.58
82, 581458, 2546.92
83, 583666, 2502.05
84, 574708, 2502.91
85, 568125, 2514
86, 547084, 2474.36
87, 550166, 2493.48
88, 550167, 2503.02
89, 557042, 2499.89
90, 556084, 2495.8
91, 546958, 2498.47
92, 547125, 2501.83
93, 538750, 2508.44
94, 549209, 2526.6
95, 569333, 2501.09
96, 538958, 2521.14
97, 540458, 2464.18
98, 533834, 2505.23
99, 533916, 2462.22
Average execution time: 731678
